X[m],Y[m],Z[m],Magnitude
633.7489999,-888.6649939,-89.88988281,0.81
846.2130999,-794.0859939,-79.88988281,0.56
770.6458999,-682.6289939,-109.8898828,0.58
784.7802999,-678.9769939,-99.88988281,0.98
871.0146999,-439.5309939,-89.88988281,0.58
786.7212999,-675.6719939,-99.88988281,0.81
902.5000999,-422.9679939,-99.88988281,0.74
1002.913,-371.9369939,-79.88988281,0.72
907.3570999,-417.3249939,-109.8898828,0.88
859.2338999,-639.8469939,-99.88988281,0.53
949.7868999,-596.0979939,-99.88988281,0.58
798.7928999,-672.0979939,-99.88988281,0.69
951.4971999,-588.3459939,-79.88988281,0.62
964.1141999,-584.3039939,-89.88988281,0.7
968.6939999,-584.5769939,-79.88988281,0.57
1076.7687,-519.2169939,-119.8898828,0.94
1142.979,-492.3149939,-129.8898828,0.81
1036.4854,-775.0909939,-69.88988281,0.7
829.6416999,-651.8819939,-109.8898828,0.59
842.0745999,-644.6169939,-109.8898828,0.7
864.1458999,-635.6509939,-79.88988281,0.57
865.5531999,-631.4759939,-99.88988281,0.65
866.7254999,-635.9989939,-99.88988281,0.54
1000.5683,-376.1479939,-79.88988281,0.61
932.1613999,-601.7769939,-89.88988281,0.97
1037.0648,-775.5149939,-79.88988281,0.51
1024.4525,-847.6289939,-79.88988281,0.52
1263.492,-352.1679939,-139.8898828,0.75
1346.7876,-305.4539939,-129.8898828,0.56
1355.9924,-305.5509939,-139.8898828,0.62
1391.0089,-289.7409939,-149.8898828,0.93
1336.7355,-322.6569939,-109.8898828,0.55
1367.5625,-301.9929939,-149.8898828,0.64
1084.0865,-754.2409939,-119.8898828,0.93
1188.0431,-632.8829939,-139.8898828,0.62
1293.4255,-711.4529939,-129.8898828,0.72
1303.4298,-707.8429939,-129.8898828,0.85
1306.4085,-705.5019939,-119.8898828,0.6
1221.13,-618.9309939,-129.8898828,0.55
1147.013,-693.3719939,-99.88988281,0.56
1172.231,-686.5129939,-109.8898828,0.72
1215.099,-661.3839939,-109.8898828,0.67
1219.5906,-659.3199939,-109.8898828,0.6
1231.0115,-610.4239939,-129.8898828,0.68
1224.5829,-670.4949939,-149.8898828,0.61
1330.0644,-563.1139939,-129.8898828,0.69
1247.1354,-646.1339939,-109.8898828,0.55
1324.7338,-529.7809939,-129.8898828,0.52
1363.3777,-513.8339939,-139.8898828,0.73
1358.8683,-543.5289939,-109.8898828,0.57
1320.9038,-698.1569939,-59.88988281,0.97
1369.2592,-589.8169939,-149.8898828,0.74
1360.7644,-512.5959939,-109.8898828,0.61
1266.4814,-551.9279939,-459.8898828,0.56
1372.6831,-586.0109939,-139.8898828,0.57
1389.2068,-577.6979939,-149.8898828,0.86
1335.7432,-686.6769939,-109.8898828,0.6
1379.8218,-505.0779939,-129.8898828,0.94
1396.2444,-616.4249939,-139.8898828,0.61
1360.4609,-679.8369939,-99.88988281,0.71
1410.4875,-655.3259939,-99.88988281,0.72
1409.0884,-658.0529939,-109.8898828,0.71
1397.6992,-668.0649939,-179.8898828,0.69
1420.1762,-654.9589939,-149.8898828,0.54
1411.3396,-489.4009939,-119.8898828,0.55
1437.1404,-484.7479939,-149.8898828,0.86
1499.2305,-456.5479939,-139.8898828,0.52
1416.1513,-737.1109939,-139.8898828,0.75
1408.051,-739.7569939,-119.8898828,0.78
1520.2321,-445.8359939,-149.8898828,0.53
1363.7913,-754.5789939,-59.88988281,0.98
1310.8344,-781.0939939,-79.88988281,0.91
1404.1059,-743.0259939,-109.8898828,0.55
1338.2584,-766.3529939,-69.88988281,0.85
1638.5189,-597.2169939,-149.8898828,0.97
1405.118,-741.6509939,-109.8898828,0.63
1538.7552,-437.4469939,-149.8898828,0.99
1450.2708,-750.4129939,-179.8898828,0.65
1964.7185,270.5930061,-89.88988281,0.08
1907.2411,-389.3719939,-119.8898828,0.41
1683.4809,-600.9709939,-89.88988281,0.41
1839.0914,-498.5819939,-139.8898828,0.5
1800.6569,-439.2099939,-149.8898828,0.36
1621.6662,-623.2579939,-109.8898828,0.44
1599.3878,-814.9519939,-159.8898828,0.42
2012.6965,-576.6599939,-129.8898828,0.39
1597.094,-820.4979939,-149.8898828,0.47
1919.7276,-596.1249939,-119.8898828,0.48
1615.6186,-812.1079939,-149.8898828,0.28
