Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well B"    "Well_B_stages"           53                   4968                 4968.5                    0.5     "53"   "Well B"     -207.8680625782581      1658.489339927211     -2524.741748046875     -207.8635154591175      1658.989339927211      -2524.74248046875     -207.8657890186878      1658.739339927211       -2524.7419921875
"Well B"    "Well_B_stages"           54                   4948                 4948.5                    0.5     "54"   "Well B"     -208.0495658741565      1638.490194419399      -2524.72099609375      -208.045034013805      1638.990072349086        -2524.721484375     -208.0473075733753      1638.740072349086     -2524.721240234375
"Well B"    "Well_B_stages"           55                   4927                 4927.5                    0.5     "55"   "Well B"     -208.2429710255237      1617.491781333461     -2524.561083984375     -208.2383323536487      1617.991781333461      -2524.56572265625     -208.2406516895862      1617.741781333461     -2524.563525390625
"Well B"    "Well_B_stages"           56                   4907                 4907.5                    0.5     "56"   "Well B"     -208.4266715870472      1597.494100669399     -2524.325732421875     -208.4221397266956      1597.993978599086     -2524.333544921875     -208.4244132862659      1597.744100669399     -2524.329638671875
"Well B"    "Well_B_stages"           57                   4887                 4887.5                    0.5     "57"   "Well B"     -208.6081596241565      1577.497274497524      -2524.01494140625      -208.603627763805      1577.997274497524      -2524.02275390625     -208.6058860645862      1577.747274497524      -2524.01884765625
"Well B"    "Well_B_stages"           58                   4867                 4867.5                    0.5     "58"   "Well B"      -209.063588701305      1557.504842856899     -2524.258837890625      -209.051641069469      1558.004598716274       -2524.2517578125     -209.0576225147815      1557.754720786586      -2524.25517578125
"Well B"    "Well_B_stages"           59                   4847                 4847.5                    0.5     "59"   "Well B"     -209.5417075977894      1537.513143638149      -2524.58037109375     -209.5297447071644      1538.012899497524     -2524.571337890625     -209.5357261524769      1537.763021567836     -2524.575732421875
"Well B"    "Well_B_stages"           60                   4827                 4827.5                    0.5     "60"   "Well B"     -210.0089317188831      1517.521688560024      -2524.92705078125     -210.0036064015003      1518.021688560024       -2524.9236328125     -210.0062766895862      1517.771688560024     -2524.925341796875
"Well B"    "Well_B_stages"           61                   4808                 4808.5                    0.5     "61"   "Well B"     -210.2112022266956      1498.523153403774        -2525.049609375     -210.2058921681019      1499.023153403774     -2525.046435546875     -210.2085471973987      1498.773153403774     -2525.047900390625
"Well B"    "Well_B_stages"           62                   4788                 4788.5                    0.5     "62"   "Well B"     -210.3170982227894      1478.524496177211         -2525.22734375     -210.3165794239612      1479.024496177211      -2525.22197265625     -210.3168388233753      1478.774496177211     -2525.224658203125
"Well B"    "Well_B_stages"           63                   4768                 4768.5                    0.5     "63"   "Well B"     -210.3723045216175      1458.529623130336        -2525.549609375     -210.3640342579456      1459.028768638149          -2525.5203125     -210.3681693897815      1458.779256919399       -2525.5349609375
