X[m],Y[m],Z[m],Magnitude
280.7059986,2262.362715,-2279,-0.41
-731.3813164,1282.025425,-2343,0.65
128.6633288,1746.207381,-2320,-0.38
-186.3501348,1609.150947,-2327,-0.4
-54.33304391,1807.215128,-2314,-0.44
376.6534764,1601.179408,-2305,-0.37
267.7066436,2271.364637,-2273,-0.32
-731.3829709,1262.01957,-2325,-0.38
377.6537251,1604.180316,-2297,-0.41
274.707895,2286.369264,-2218,-0.47
282.7090715,2300.373654,-2239,-0.48
-38.33154859,1824.220868,-2257,-0.44
276.7067795,2272.365369,-2228,-0.44
-54.33166232,1824.220019,-2303,-0.47
365.6527502,1593.17653,-2328,-0.48
-145.3465658,1649.164723,-2284,-0.47
395.6584394,1661.197508,-2346,-0.48
394.6573074,1647.193472,-2320,-0.49
397.6582936,1659.197048,-2328,-0.46
-129.3427815,1694.178565,-2274,-0.39
397.6584543,1661.197616,-2318,-0.49
371.6524741,1589.17572,-2376,-0.49
391.6576867,1652.194732,-2306,-0.47
290.7098449,2309.376617,-2265,-0.4
288.7100743,2312.377373,-2238,-0.39
283.7107689,2321.379694,-2238,-0.49
-215.3553331,1548.131738,-2342,-0.49
298.7122281,2338.385281,-2259,-0.49
291.710012,2311.377236,-2240,-0.45
382.6547271,1616.184002,-2327,-0.41
383.6538507,1605.180928,-2311,-0.45
137.6589465,1691.192117,-2323,-0.46
-279.3505939,1612.146734,-2317,-0.38
-170.3496061,1614.153264,-2288,-0.38
-185.3501273,1609.151002,-2329,-0.38
-195.3510187,1599.147568,-2285,-0.39
-194.350848,1601.1482,-2298,-0.4
-186.3501348,1609.150947,-2326,-0.2
-198.3510415,1599.147403,-2288,-0.35
377.6550912,1621.185152,-2374,-0.44
382.6551288,1621.185425,-2354,-0.42
380.6551138,1621.185316,-2311,-0.34
371.6519919,1583.174013,-2294,-0.3
-168.3883153,1139.016307,-2375,-0.41
-218.3407457,1727.183295,-2256,-0.32
-219.3560986,1539.128918,-2278,-0.36
380.6540692,1608.181617,-2289,-0.34
380.6535067,1601.179626,-2305,-0.33
373.6540163,1608.181235,-2318,-0.34
396.6580452,1656.19614,-2273,-0.41
113.6487353,1567.155298,-2313,-0.35
-174.3489841,1622.155355,-2332,-0.33
-207.3553531,1547.13189,-2368,-0.29
-42.32978966,1846.226984,-2291,-0.35
-730.3830453,1261.019335,-2324,-0.33
-36.32909745,1854.229602,-2303,-0.36
-35.32900917,1855.229942,-2302,-0.33
375.6525045,1589.175939,-2342,-0.3
400.6608056,1690.206025,-2348,-0.37
-49.33154552,1825.220572,-2302,-0.38
-56.33825982,1743.196606,-2324,-0.44
-65.33564261,1776.205621,-2315,-0.47
415.6622005,1706.211382,-2286,-0.42
383.6557791,1629.187755,-2289,-0.44
-154.3480999,1631.159041,-2277,-0.45
-157.3486929,1624.156859,-2295,-0.38
-149.3470031,1644.163063,-2268,-0.45
-161.3496196,1613.153467,-2274,-0.42
-157.3494264,1615.154262,-2267,-0.41
-160.3488785,1622.156118,-2239,-0.33
-128.3391098,1739.191592,-2296,-0.33
-146.3467362,1647.164092,-2250,-0.37
-126.3423523,1699.180168,-2271,-0.31
-173.3510963,1596.147905,-2278,-0.41
-173.3517485,1588.145596,-2302,-0.36
-172.3501919,1607.151135,-2318,-0.44
-174.3517562,1588.145542,-2298,-0.47
103.642669,1493.133545,-2265,-0.42
89.64094031,1473.127036,-2274,-0.42
-252.3467949,1656.160934,-2266,-0.32
100.6432123,1500.135384,-2267,-0.38
151.6590498,1691.192872,-2302,-0.41
