length,height,strike,dip
845.9908969,620.57324,213.7750776,74.65891313
1557.325102,643.90162,291.8123833,82.80768189
1511.859534,625.2312,222.0948915,76.19011321
990.1278958,607.87353,253.1078245,77.50841209
4501.892992,590.01929,340.2755097,86.9134405
5644.619435,676.06738,205.9976278,67.10645723
6519.851265,554.04883,313.1819229,87.4354207
5780.743151,674.71143,287.1226228,74.98549403
2807.957644,632.7771,278.0575056,74.03230826
1353.123891,608.19336,289.3255938,80.1127568
2230.620584,690.33203,328.4475146,67.46058399
5068.373983,655.45801,138.0177911,83.53131951
3686.823533,776.24487,205.9385384,80.19165635
976.2844124,583.18152,238.8532006,82.42185572
2510.152088,586.9856,233.4582439,75.230125
1007.581665,666.95874,180.4694819,82.86022963
2858.124041,588.54321,62.4947338,77.12471584
6576.579716,656.11939,275.8415293,58.37572079
1799.218181,606.97338,80.83342598,74.99878693
2049.953509,632.77613,277.3878469,70.4416728
3191.095649,663.52917,67.0474404,71.58598474
2539.510694,632.77636,272.2477992,65.05127991
3905.820247,614.67089,154.0989875,77.64099745
1280.880066,532.57446,145.0346344,83.27539995
4463.39434,631.92627,313.2699051,81.09197015
4291.087158,631.9292,355.4695994,76.16649228
3636.558255,569.15601,299.1741083,83.02484911
1393.37728,654.24218,334.713012,89.21792144
5065.519075,364.74908,148.6235328,78.53320807
1262.160278,322.66342,124.752273,82.99941202
1360.404504,272.66479,133.2947185,80.72160289
371.3862978,300.37451,116.4964643,77.66249901
637.4247505,258.7477,122.6373998,83.59647467
703.7427404,240.89432,323.1457802,55.57449323
1451.949465,256.16444,329.6797443,48.1019159
9517.989457,404.15597,315.7206691,54.79848137
1288.526486,345.48151,150.7790301,71.39011918
2592.371438,378.75354,298.2885498,79.74385603
2504.514019,359.00951,36.12574884,74.65334306
1345.188209,303.03431,244.2955742,73.51262288
1241.290447,361.6941,334.4899777,68.56127488
1266.586462,463.6358,336.6246965,85.71020238
1519.970402,416.7974,29.11218719,77.63518319
